 0, 252
 1, 116
 2, 124
 3, 122
 4, 204
 5, 23
 6, 121
 7, 59
 8, 68
 9, 84
 10, 289
 11, 165
 12, 205
 13, 93
 14, 94
 15, 12
 16, 45
 17, 408
 18, 16
 19, 68
 20, 71
 21, 187
 22, 170
 23, 151
 24, 234
 25, 522
 26, 37
 27, 142
 28, 149
 29, 248
 30, 88
 31, 121
 32, 8
 33, 10
 34, 6
 35, 11
 36, 9
 37, 8
 38, 30
 39, 4
 40, 19
 41, 3
 42, 4
 43, 10
 44, 25
 45, 7
 46, 3
 47, 1
 48, 1
 49, 14
 50, 32
 51, 57
 52, 4
 53, 29
 54, 11
 55, 7
 56, 4
 57, 11
 58, 3
 59, 48
 60, 5
 61, 13
 62, 16
 63, 17
 64, 36
 65, 40
 66, 82
 67, 70
 68, 23
 69, 293
 70, 9
 71, 14
 72, 40
 73, 51
 74, 214
 75, 202
 76, 153
 77, 244
 78, 35
 79, 210
 80, 428
 81, 138
 82, 56
 83, 19
 84, 228
 85, 120
 86, 218
 87, 208
 88, 418
 89, 119
 90, 109
 91, 80
 92, 323
 93, 257
 94, 136
 95, 130
 96, 1
 97, 10
 98, 6
 99, 10
 100, 5
 101, 26
 104, 10
 105, 28
 106, 17
 107, 8
 108, 14
 109, 19
 110, 1
 111, 22
 112, 20
 113, 19
 114, 35
 116, 20
 117, 11
 118, 5
 119, 2
 120, 14
 121, 3
 122, 47
 123, 16
 124, 8
 125, 3
 126, 8
 127, 9
 128, 206
 129, 111
 130, 122
 131, 131
 132, 168
 133, 32
 134, 109
 135, 62
 136, 61
 137, 69
 138, 269
 139, 154
 140, 196
 141, 85
 142, 96
 143, 20
 144, 71
 145, 442
 146, 23
 147, 58
 148, 88
 149, 196
 150, 171
 151, 174
 152, 231
 153, 489
 154, 33
 155, 133
 156, 147
 157, 242
 158, 91
 159, 114
 160, 20
 161, 2
 162, 11
 163, 11
 164, 4
 165, 1
 166, 17
 168, 18
 169, 5
 170, 3
 171, 9
 172, 26
 173, 3
 174, 2
 175, 1
 176, 2
 177, 19
 178, 32
 179, 68
 180, 6
 181, 25
 182, 9
 183, 8
 184, 3
 185, 11
 186, 2
 187, 43
 188, 6
 189, 16
 190, 7
 191, 10
 192, 34
 193, 48
 194, 90
 195, 61
 196, 25
 197, 242
 198, 14
 199, 12
 200, 34
 201, 61
 202, 222
 203, 194
 204, 164
 205, 248
 206, 20
 207, 220
 208, 399
 209, 156
 210, 62
 211, 29
 212, 230
 213, 119
 214, 222
 215, 229
 216, 388
 217, 93
 218, 96
 219, 64
 220, 347
 221, 216
 222, 130
 223, 128
 225, 10
 226, 11
 227, 9
 228, 7
 229, 30
 230, 1
 232, 16
 233, 16
 234, 10
 235, 9
 236, 9
 237, 13
 238, 1
 239, 29
 240, 23
 241, 11
 242, 35
 243, 1
 244, 10
 245, 14
 246, 7
 247, 4
 248, 14
 249, 1
 250, 44
 251, 16
 252, 6
 253, 3
 254, 3
 255, 11
